情景,未来一年猪价涨幅_%,未来一年营收增速_%,预计股价收益_%,统计目标价_元,目标价下沿_元,目标价上沿_元
保守,10.0,5.0,37.97248575932731,54.22318690341564,35.02489972262161,73.42147408420965
基准,20.0,15.0,44.58594935217261,56.82227809540383,37.62399091460981,76.02056527619784
乐观,30.0,25.0,51.19941294501791,59.42136928739203,40.22308210659802,78.61965646818605
