猪周期顶部季度,顶部季度猪价_元每公斤,观察窗口股价高点日,未复权股价高点_元,总市值_亿元,未来四季归母净利润_亿元,前瞻PE_倍,PB_倍,参考年销量_万头,市值每万头_亿元
2016Q2,20.512307692307694,2015-07-29,74.66,361.3544,20.7878652375,17.382948940237473,18.247522235520336,,
2020Q1,37.04636363636364,2020-04-28,133.7,2947.5613265139996,261.933696597,11.253081847842553,10.699105350316959,1025.31,2.8748001350947514
2022Q4,23.85923076923077,2022-07-11,65.14,3466.8181879814,99.11528212729999,34.97763527049994,7.223520670844799,6120.0,0.5664735601276798
2024Q3,19.39071428571429,2024-05-20,49.35,2697.1505660085,275.82023375250003,9.778653760509522,4.408749292860891,6381.6,0.42264487996873823
