报告日期,公告销量_万头,公告销售收入_亿元,公告加权售价_元每公斤,反推平均重量_公斤每头,生猪主营收入_亿元,生猪主营成本_亿元,生猪主营毛利率_%,报表隐含单位成本_元每公斤
2018-12-31,1101.1999999999998,132.70000000000002,11.621746117659127,103.68915524515467,132.6160154591,119.5766733946,9.832403740498041,10.479049117675224
2019-06-30,581.51,68.58000000000001,12.447823731139254,94.74294133236275,68.0494078532,65.0953203546,4.341092144361813,11.907452233002761
2019-12-31,1025.3100000000002,196.62,19.09181192192714,100.4443126652463,196.2703686266,123.5517429789,37.050231350023886,12.018251435941693
2020-06-30,678.0999999999999,207.2,30.000296553534433,101.8522105018116,207.5026494482,76.2128217433,63.271398246736396,11.018689445945725
2020-12-31,1811.3999999999996,550.64,30.52310226621649,99.59206132904451,551.0500107185,208.9130149238,62.08819329276418,11.571859532219912
2021-06-30,1743.7,397.5,20.49452630704856,111.23141975594925,397.3089055111,261.0267757405,34.301302558342115,13.464636830568814
2021-12-31,4026.4,750.9199999999998,16.651816950340475,111.99925296875169,750.7611495514999,619.5163942511,17.481559265394154,13.740819701401756
2022-06-30,3128.0000000000005,426.99000000000007,13.405879125146267,101.8252911289128,426.2249195689,468.1068394011,-9.826248515586776,14.72317412368231
2022-12-31,6120.0,1197.6299999999999,17.95574985647411,108.98524318661633,1197.4401893343,976.8735129758,18.419849135105515,14.648327821834654
2023-06-30,3026.5,506.97999999999996,14.343673270106178,116.78572597876418,506.8271119329,503.27215651029996,0.7014138231560607,14.243064763041312
2023-09-30,4701.0,807.2,14.686842142896456,116.91291125217984,807.228864,770.739876,4.520277907208237,14.022956062244559
2023-12-31,6381.6,1082.19,14.459204612276528,117.2815059809935,1082.2432167398,1050.6068568709,2.923220897073653,14.036530121499823
2024-03-31,1601.1,257.1,13.978598390423318,114.87353649957653,257.106372,263.51996,-2.4945270512393147,14.327298308656532
2024-06-30,3238.9,560.23,14.999176208013289,115.31914522875947,560.1809479883999,514.6240223517,8.132537495302916,13.779362578910053
2024-09-30,5014.6,953.51,16.391448682527432,116.00364013592042,953.566862,785.087981,17.668281870306856,13.495361326671786
2024-12-31,7160.500000000001,1362.27,16.316326419200713,116.59970683931549,1362.2932974349,1100.6392787375,19.206878518016325,13.182469425261829
2025-06-30,3839.3999999999996,708.68,14.490463156232552,127.38096920203239,754.457879252,613.2170886739,18.720831800196958,11.777727921684745
2025-09-30,5732.3,1034.23,14.195553826773779,127.097169658434,1095.160485,893.221977,18.43917040158731,11.578011467205913
2025-12-31,7798.1,1328.1100000000001,13.497638660031946,126.17910685445413,1402.0717687234,1159.7078567349001,17.286127386273144,11.164419647119972
